"id","date","weight","comments"
"1771478308894","2015-05-11","160","t"
"1771478309718","2015-05-12","160","t"
"1771478310510","2015-05-13","157.4","t"
"1771478311092","2015-05-14","157.4","t"
"1771478311901","2015-05-15","157.4","t"
"1771478312798","2015-05-17","159.2","t"
"1771478313442","2015-05-18","157.4","t"
"1771478314577","2015-05-19","157.4","t"
"1771478315188","2015-05-20","158","t"
"1771478315632","2015-05-21","158","t"
"1771478316310","2015-05-22","155.8","t"
"1771478316346","2015-05-23","156.6","t"
"1771478316724","2015-05-24","159.4","t"
"1771478316968","2015-05-25","157.6","t"
"1771478317741","2015-05-26","159.4","t"
"1771478317869","2015-05-27","158.4","t"
"1771478318430","2015-05-28","157.4","t"
"1771478319340","2015-05-29","156.6","t"
"1771478320029","2015-05-31","157.8","t"
"1771478321205","2015-06-02","160.6","t"
"1771478322323","2015-06-03","160","t"
"1771478323255","2015-06-04","160","t"
"1771478323309","2015-06-06","160.8","t"
"1771478324325","2015-06-07","158.6","t"
"1771478324845","2015-06-08","158.2","t"
"1771478325980","2015-06-09","157.2","t"
"1771478326582","2015-06-10","158.8","t"
"1771478327174","2015-06-11","158.2","t"
"1771478327571","2015-06-12","160.2","t"
"1771478328130","2015-06-16","160.2","t"
"1771478328906","2015-06-17","160.2","t"
"1771478329767","2015-06-19","159","t"
"1771478330465","2015-06-22","158.8","t"
"1771478330661","2015-06-23","159.6","t"
"1771478331826","2015-06-24","157.8","t"
"1771478331871","2015-06-25","157.4","t"
"1771478332620","2015-06-26","158.4","t"
"1771478333304","2015-06-28","159.6","t"
"1771478333420","2015-06-29","158.2","t"
"1771478334423","2015-06-30","157.4","t"
"1771478335568","2015-07-01","158","t"
"1771478336390","2015-07-02","157.6","t"
"1771478337315","2015-07-03","158","t"
"1771478337596","2015-07-04","158.6","t"
"1771478338551","2015-07-05","158","t"
"1771478338781","2015-07-22","157","t"
"1771478339549","2015-07-23","157.4","t"
"1771478340302","2015-07-24","158.4","t"
"1771478340674","2015-07-25","155.2","t"
"1771478340699","2015-07-26","158","t"
"1771478341369","2015-07-27","159.2","t"
"1771478342055","2015-07-28","159.6","t"
"1771478343267","2015-07-29","158.6","t"
"1771478343512","2015-07-30","158.6","t"
"1771478344384","2015-07-31","158.6","t"
"1771478345284","2015-08-01","157.6","t"
"1771478345415","2015-08-03","157.4","t"
"1771478345457","2015-08-04","158.6","t"
"1771478345788","2015-08-05","158.8","t"
"1771478346854","2015-08-06","158","t"
"1771478346975","2015-08-07","158.6","t"
"1771478347900","2015-08-08","156.6","t"
"1771478348241","2015-08-09","158.8","t"
"1771478349350","2015-08-10","160","t"
"1771478349843","2015-08-11","160.2","t"
"1771478350055","2015-08-12","158.6","t"
"1771478350661","2015-08-13","158.6","t"
"1771478351311","2015-08-14","157.4","t"
"1771478351349","2015-08-15","156.6","t"
"1771478351638","2015-08-16","157","t"
"1771478352514","2015-08-17","158.6","t"
"1771478352778","2015-08-18","161.6","t"
"1771478353001","2015-08-19","161.4","t"
"1771478353480","2015-08-24","161.8","t"
"1771478353909","2015-08-25","160.6","t"
"1771478354169","2015-08-31","158.6","t"
"1771478354416","2015-09-01","158","t"
"1771478355596","2015-09-02","160.6","t"
"1771478356775","2015-09-03","159.2","t"
"1771478357837","2015-09-04","156.8","t"
"1771478358189","2015-09-05","157.4","t"
"1771478358794","2015-09-06","159.8","t"
"1771478359835","2015-09-07","157.4","t"
"1771478361054","2015-09-08","158","t"
"1771478361183","2015-09-09","161.6","t"
"1771478361340","2015-09-10","160.6","t"
"1771478361520","2015-09-11","159.8","t"
"1771478362282","2015-09-12","160.6","t"
"1771478362998","2015-09-14","158.6","t"
"1771478363825","2015-09-15","158.6","t"
"1771478364769","2015-09-16","160","t"
"1771478365151","2015-09-17","157.4","t"
"1771478366154","2015-09-18","158.8","t"
"1771478367010","2015-09-19","161.6","t"
"1771478367588","2015-09-20","159.8","t"
"1771478368131","2015-09-22","157.8","t"
"1771478368342","2015-09-23","158.8","t"
"1771478369279","2015-09-24","161.4","t"
"1771478370110","2015-09-25","159.6","t"
"1771478371165","2015-09-26","162.4","t"
"1771478371652","2015-09-27","163.2","t"
"1771478372661","2015-09-28","161.6","t"
"1771478373076","2015-09-29","160","t"
"1771478373894","2015-10-01","158.6","t"
"1771478373922","2015-10-02","161.4","t"
"1771478373935","2015-10-06","157.6","t"
"1771478375081","2015-10-07","159.2","t"
"1771478376017","2015-10-08","155.8","t"
"1771478376825","2015-10-09","154.4","t"
"1771478377974","2015-10-13","157.8","t"
"1771478379123","2015-10-14","154.4","t"
"1771478379628","2015-10-15","153.8","t"
"1771478380608","2015-10-17","155.8","t"
"1771478381501","2015-10-18","153.2","t"
"1771478382700","2015-10-19","155.4","t"
"1771478382836","2015-10-20","153.8","t"
"1771478383912","2015-10-21","151.8","t"
"1771478384100","2015-10-22","152.4","t"
"1771478385082","2015-10-23","150.4","t"
"1771478385374","2015-10-24","150","t"
"1771478386473","2015-10-25","150","t"
"1771478387237","2015-10-26","151.4","t"
"1771478388253","2015-10-27","149.8","t"
"1771478389249","2015-10-28","150.6","t"
"1771478390392","2015-10-29","150.4","t"
"1771478391548","2015-10-30","151","t"
"1771478392254","2015-10-31","150.4","t"
"1771478393252","2015-11-01","151.6","t"
"1771478393407","2015-11-02","153.6","t"
"1771478393575","2015-11-03","152.8","t"
"1771478394600","2015-11-04","151.8","t"
"1771478394646","2015-11-05","153","t"
"1771478394997","2015-11-06","150.4","t"
"1771478395826","2015-11-07","151.4","t"
"1771478396245","2015-11-08","151.4","t"
"1771478396586","2015-11-09","151.6","t"
"1771478397393","2015-11-10","153","t"
"1771478398310","2015-11-11","153","t"
"1771478398650","2015-11-12","153.2","t"
"1771478398665","2015-11-13","153","t"
"1771478399004","2015-11-14","153","t"
"1771478399250","2015-11-15","153.6","t"
"1771478399778","2015-11-16","153.6","t"
"1771478400789","2015-11-17","154","t"
"1771478401222","2015-11-18","153.4","t"
"1771478401347","2015-11-20","155.4","t"
"1771478402096","2015-11-21","152.2","t"
"1771478402603","2015-11-22","152.8","t"
"1771478403231","2015-11-23","154","t"
"1771478403349","2015-11-24","155.4","t"
"1771478403642","2015-11-25","154.8","t"
"1771478403785","2015-11-28","156.6","t"
"1771478404075","2015-11-29","155.2","t"
"1771478405123","2015-11-30","156.2","t"
"1771478405290","2015-12-01","156.4","t"
"1771478405594","2015-12-02","156.8","t"
"1771478405915","2015-12-03","156","t"
"1771478407110","2015-12-04","156","t"
"1771478407684","2015-12-05","155.8","t"
"1771478408305","2015-12-06","155","t"
"1771478408899","2015-12-07","157.4","t"
"1771478409561","2015-12-08","159","t"
"1771478410745","2015-12-09","158.6","t"
"1771478411015","2015-12-10","158.6","t"
"1771478411146","2015-12-11","158","t"
"1771478411402","2015-12-13","159","t"
"1771478412356","2015-12-14","160.2","t"
"1771478412715","2015-12-15","158","t"
"1771478413716","2015-12-16","157.2","t"
"1771478414458","2015-12-18","155.4","t"
"1771478415032","2015-12-20","154.6","t"
"1771478415302","2015-12-21","154.4","t"
"1771478416490","2015-12-22","156.8","t"
"1771478416851","2015-12-23","156","t"
"1771478417518","2015-12-24","156.2","t"
"1771478418524","2015-12-25","157.4","t"
"1771478419608","2015-12-27","156.2","t"
"1771478419654","2015-12-28","160.2","t"
"1771478420293","2015-12-29","158.8","t"
"1771478421259","2015-12-30","157.4","t"
"1771478422143","2015-12-31","158.2","t"
"1771478423271","2016-01-01","157.4","t"
"1771478424363","2016-01-02","158","t"
"1771478425492","2016-01-03","157.4","t"
"1771478426408","2016-01-04","158","t"
"1771478426528","2016-01-05","158.6","t"
"1771478427352","2016-01-06","158","t"
"1771478427944","2016-01-07","158.2","t"
"1771478429149","2016-01-09","158","t"
"1771478430256","2016-01-09","157.4","t"
"1771478430910","2016-01-10","157.6","t"
"1771478431168","2016-01-11","159.6","t"
"1771478431323","2016-01-12","159.2","t"
"1771478431659","2016-01-13","159.2","t"
"1771478432111","2016-01-14","158.2","t"
"1771478433316","2016-01-15","157.2","t"
"1771478433976","2016-01-16","155.8","t"
"1771478434872","2016-01-17","157.6","t"
"1771478435367","2016-01-18","158.6","t"
"1771478436330","2016-01-19","159.2","t"
"1771478436888","2016-01-20","158.2","t"
"1771478437655","2016-01-21","158.2","t"
"1771478438395","2016-01-25","159.3","t"
"1771478439626","2016-01-27","160.3","t"
"1771478440828","2016-01-30","161","t"
"1771478440892","2016-02-01","158.8","t"
"1771478441067","2016-02-02","158.6","t"
"1771478441699","2016-02-03","157.2","t"
"1771478442006","2016-02-04","157.8","t"
"1771478443094","2016-02-05","158.4","t"
"1771478443436","2016-02-06","157.6","t"
"1771478444511","2016-02-07","158.6","t"
"1771478444850","2016-02-08","160","t"
"1771478444938","2016-02-11","160","t"
"1771478445795","2016-02-12","158.6","t"
"1771478446971","2016-02-14","160.6","t"
"1771478447038","2016-02-15","156.6","t"
"1771478447418","2016-02-16","158.4","t"
"1771478448431","2016-02-17","158.4","t"
